"","DroughtTimePds","Topo","Depth","N","meanFeIIIconcentration_mgFeg","sdFeIIIconcentration_mgFeg","seFeIIIconcentration_mgFeg","ciFeIIIconcentration_mgFeg"
"1","PostDrought","Ridge","0-15",4,0.192936983,0.0210991491261951,0.0105495745630976,0.0335734545906449
"2","PostDrought","Ridge","15-30",4,0.1137532535,0.0378204405060219,0.018910220253011,0.0601807605762959
"3","PostDrought","Ridge","30-45",4,0.0628385925,0.0348277459382108,0.0174138729691054,0.0554187156912093
"4","PostDrought","Ridge","45-60",4,0.0333839695,0.0100400958692424,0.00502004793462122,0.0159760330018824
"5","PostDrought","Ridge","60-75",4,0.023403712,0.00675681842969431,0.00337840921484715,0.0107516059235268
"6","PostDrought","Ridge","75-90",4,0.03121831725,0.00499356855280078,0.00249678427640039,0.00794588189552088
"7","PostDrought","Ridge","90-105",4,0.025769749,0.00434093439162454,0.00217046719581227,0.00690739530805224
"8","PostDrought","Slope","0-15",4,0.1348665205,0.0593737952984955,0.0296868976492477,0.094476957739184
"9","PostDrought","Slope","15-30",4,0.0776769815,0.0473152933695208,0.0236576466847604,0.0752891902836232
"10","PostDrought","Slope","30-45",4,0.0610122885,0.0530212841309124,0.0265106420654562,0.0843686948919099
"11","PostDrought","Slope","45-60",4,0.04322381525,0.0129067185779366,0.00645335928896831,0.0205374694258455
"12","PostDrought","Slope","60-75",4,0.03769042775,0.0161411454248261,0.00807057271241305,0.0256841643101424
"13","PostDrought","Slope","75-90",3,0.034108926,0.00174117793901801,0.00100526955179908,0.00432532578118235
"14","PostDrought","Slope","90-105",3,0.0374971116666667,0.00396416604374859,0.00228871233247062,0.00984753436491598
"15","PostDrought","Valley","0-15",3,0.701146399,0.760984029584552,0.439354334329647,1.89038912593071
"16","PostDrought","Valley","15-30",3,0.138123552666667,0.149311515056063,0.0862050434107291,0.370910365349344
"17","PostDrought","Valley","30-45",2,0.129087845,0.168869333708876,0.119408651,1.51723076687643
"18","PostDrought","Valley","45-60",3,0.221949168666667,0.342338059979105,0.197648971082791,0.850414884961542
"19","PostDrought","Valley","60-75",4,0.0354370925,0.0146595393426549,0.00732976967132747,0.0233265984090967
"20","PostDrought","Valley","75-90",4,0.0357971395,0.0175555727976266,0.00877778639881332,0.027934833893473
"21","PostDrought","Valley","90-105",4,0.05191973325,0.041959810901855,0.0209799054509275,0.0667674225875058
"23","PreDrought","Ridge","0-15",6,0.96077268,0.2055765091209,0.083926258408136,0.215739315396874
"24","PreDrought","Ridge","15-30",6,0.344971789333333,0.16353483981925,0.0667628187874905,0.171619289271002
"25","PreDrought","Slope","0-15",6,1.04480798183333,0.449347920216965,0.183445520252068,0.471561722188821
"26","PreDrought","Slope","15-30",6,0.564996584,0.312407201106679,0.127539705780402,0.327851251001501
"27","PreDrought","Valley","0-15",6,1.3281319075,0.715804222074695,0.29222584996881,0.751190461833204
"28","PreDrought","Valley","15-30",6,1.45046151416667,0.675359808447798,0.275714487246816,0.708746652738444
"30","Drought","Ridge","0-15",6,0.9952089285,0.259316380543168,0.105865469046025,0.27213585175083
"31","Drought","Ridge","15-30",6,0.7085556655,0.240413130710802,0.0981482496177501,0.252298107666887
"32","Drought","Slope","0-15",12,1.02823791058333,0.981153107714124,0.283234505427494,0.623394943271809
"33","Drought","Slope","15-30",12,0.932383338583333,1.07533654807915,0.310422922751469,0.683236246328256
"34","Drought","Valley","0-15",6,3.36839193233333,0.780736116025896,0.318734184670968,0.819332305511541
"35","Drought","Valley","15-30",5,1.6054906134,1.27431416225123,0.569890618296891,1.58227001766855
