"","DroughtTimePds","Topo","Depth","N","meanPiCombo","sdPiCombo","sePiCombo","ciPiCombo"
"23","PreDrought","Ridge","0-15",6,60.4291595825,11.1139347773141,4.53724487316536,11.6633592547929
"24","PreDrought","Ridge","15-30",6,30.2333164816667,7.1547369815716,2.92090914144518,7.50843598254305
"25","PreDrought","Slope","0-15",6,85.5636542461667,13.1567839754153,5.37123456596562,13.8071980102131
"26","PreDrought","Slope","15-30",6,57.647531063,40.2749852496632,16.4421938766323,42.2660049172816
"27","PreDrought","Valley","0-15",6,189.469470787333,47.3730248493628,19.3399564088545,49.7149406465994
"28","PreDrought","Valley","15-30",6,153.006352080833,56.898901294628,23.228879182804,59.7117348895064
"30","Drought","Ridge","0-15",6,37.6140933721667,6.19735941510044,2.53006138660488,6.50372984345134
"31","Drought","Ridge","15-30",6,22.2282127605,7.94456074116356,3.24335334106634,8.33730518509549
"32","Drought","Slope","0-15",12,32.4863366008333,13.3914940511404,3.8657913476386,8.50854938816321
"33","Drought","Slope","15-30",12,29.0997529425833,19.6212069817617,5.66415456637275,12.4667201450517
"34","Drought","Valley","0-15",6,75.3604542903333,24.4629917384486,9.98697455685323,25.6723353888089
"35","Drought","Valley","15-30",6,80.0432957561667,44.7982429275827,18.2888060909705,47.0128727329235
