"","DroughtTimePds","Topo","Depth","N","meanPoCombo","sdPoCombo","sePoCombo","ciPoCombo"
"23","PreDrought","Ridge","0-15",6,71.7967444148333,13.4344380453405,5.48458636535296,14.0985780867549
"24","PreDrought","Ridge","15-30",6,42.9792234093333,10.5160047830191,4.29314097517735,11.0358702086169
"25","PreDrought","Slope","0-15",6,95.4529474168333,13.4143116207153,5.47636978690654,14.0774566994495
"26","PreDrought","Slope","15-30",6,50.1066426035,15.8542609639358,6.47247493509475,16.6380264997659
"27","PreDrought","Valley","0-15",4,43.61854773825,17.2479765628129,8.62398828140647,27.445379642972
"28","PreDrought","Valley","15-30",3,50.5007284426667,18.0674568647076,10.4312510844109,44.8820509530424
"30","Drought","Ridge","0-15",6,162.003029548333,41.0130779138684,16.743518944998,43.0405856646443
"31","Drought","Ridge","15-30",6,58.1149446016667,27.6681679910598,11.2954822826172,29.0359615804475
"32","Drought","Slope","0-15",12,149.883102611667,40.8426169308598,11.7902479397203,25.9501607491255
"33","Drought","Slope","15-30",12,58.62781927425,21.0831570622391,6.08618320262546,13.3955989105776
"34","Drought","Valley","0-15",6,174.694860016667,25.3737249997419,10.3587798538448,26.6280913316488
"35","Drought","Valley","15-30",6,81.3241319491667,16.5995476405566,6.7767369467307,17.4201569001514
