"","DroughtTimePds","Topo","Depth","N","meanpH","sdpH","sepH","cipH"
"1","PostDrought","Ridge","0-15",4,4.675,0.166232768530556,0.083116384265278,0.264513430013575
"2","PostDrought","Ridge","15-30",4,4.7025,0.132507861402006,0.0662539307010031,0.21084957696993
"3","PostDrought","Ridge","30-45",4,4.69,0.116904519445001,0.0584522597225006,0.186021177989356
"4","PostDrought","Ridge","45-60",4,4.555,0.0810349718742883,0.0405174859371442,0.128944723420049
"5","PostDrought","Ridge","60-75",4,4.675,0.283490152680242,0.141745076340121,0.451096094490775
"6","PostDrought","Ridge","75-90",4,4.6375,0.280163642656692,0.140081821328346,0.445802874723808
"7","PostDrought","Ridge","90-105",4,4.62,0.273617738216415,0.136808869108208,0.435386880023457
"8","PostDrought","Slope","0-15",4,4.785,0.312569992161755,0.156284996080878,0.497368608348868
"9","PostDrought","Slope","15-30",4,4.835,0.346265793863616,0.173132896931808,0.550986148163697
"10","PostDrought","Slope","30-45",4,4.8875,0.17173137938847,0.0858656896942351,0.273262946918056
"11","PostDrought","Slope","45-60",4,4.9575,0.247840674627875,0.123920337313937,0.394369819634251
"12","PostDrought","Slope","60-75",4,4.935,0.271845544381364,0.135922772190682,0.432566924162155
"13","PostDrought","Slope","75-90",3,4.83333333333333,0.280416357107308,0.161898459261079,0.696592847681912
"14","PostDrought","Slope","90-105",3,4.86666666666667,0.291604755333882,0.168358083988992,0.724386369650625
"15","PostDrought","Valley","0-15",4,4.8075,0.149972219649729,0.0749861098248646,0.238639268159739
"16","PostDrought","Valley","15-30",4,5.0475,0.618405206963848,0.309202603481924,0.984020683035153
"17","PostDrought","Valley","30-45",4,5.2925,0.364451642882838,0.182225821441419,0.579923892173533
"18","PostDrought","Valley","45-60",4,5.6,0.281069386451104,0.140534693225552,0.447244115219837
"19","PostDrought","Valley","60-75",4,5.5625,0.324486774255387,0.162243387127694,0.516330867921243
"20","PostDrought","Valley","75-90",4,5.435,0.299499582637439,0.149749791318719,0.476570670099265
"21","PostDrought","Valley","90-105",4,5.4075,0.353117072182395,0.176558536091197,0.561888060849732
"23","PreDrought","Ridge","0-15",6,4.53666666666667,0.213791175371358,0.0872798818616168,0.224360078929955
"24","PreDrought","Ridge","15-30",6,4.745,0.169322178110252,0.0691254897511282,0.177692728333714
"25","PreDrought","Slope","0-15",6,4.91166666666667,0.13746514709797,0.0561199113011099,0.144260824608154
"26","PreDrought","Slope","15-30",6,5.03833333333333,0.145796662055984,0.0595212380396929,0.15300421333942
"27","PreDrought","Valley","0-15",6,6.12333333333333,0.187687683843844,0.0766231760703712,0.196966144595259
"28","PreDrought","Valley","15-30",6,5.83166666666667,0.361021698332201,0.147386491164481,0.378869037005588
"30","Drought","Ridge","0-15",6,4.52166666666667,0.134226177278006,0.0547976074092454,0.140861734242536
"31","Drought","Ridge","15-30",6,4.65666666666667,0.187367731124296,0.0764925559195867,0.196630374808285
"32","Drought","Slope","0-15",12,4.89916666666667,0.207866142825938,0.0600057867579823,0.132071846173943
"33","Drought","Slope","15-30",12,4.93,0.254201065729831,0.0733815268637038,0.161511651651878
"34","Drought","Valley","0-15",6,5.025,0.177397857935207,0.0724223722339996,0.186167634558411
"35","Drought","Valley","15-30",6,5.15666666666667,0.232436371221603,0.0948917511928431,0.243927011968043
