"","DroughtTimePds","Topo","N","meanCO2_umolm2s_fluxuse","sdCO2_umolm2s_fluxuse","seCO2_umolm2s_fluxuse","ciCO2_umolm2s_fluxuse"
"1","Pre-Drought","Ridge",9,1.99985987666667,1.0447367224666,0.348245574155533,0.803055734069207
"2","Pre-Drought","Slope",195,3.86486471020513,2.49823904443978,0.178902613862939,0.352843816815953
"3","Pre-Drought","Valley",106,0.37243480245283,0.233222138788827,0.0226525366194311,0.0449157955992097
"4","Drought","Ridge",1484,2.06101498941375,1.57980444329528,0.041009680001324,0.0804431493486297
"5","Drought","Slope",1491,6.55769808295775,4.02843684264059,0.104327244638875,0.204643877177461
"6","Drought","Valley",1530,1.96513176148366,0.915300658579876,0.0234001186466569,0.0458997237578152
"7","Drought Recovery","Ridge",524,1.86961069406489,2.00909439768319,0.0877676962735385,0.172420535675294
"8","Drought Recovery","Slope",320,4.82040928578125,4.33835228283208,0.242521265368848,0.477143221914155
"9","Drought Recovery","Valley",513,1.24350389649123,0.626019296916275,0.0276394271637572,0.0543006428398967
"10","Post-Drought","Ridge",180,1.02691718905556,1.08679151443715,0.0810046567883801,0.159846929406974
"11","Post-Drought","Slope",106,3.33074688622641,2.95054111159262,0.28658188679938,0.568238942338814
"12","Post-Drought","Valley",184,0.762839976141304,0.186950908532114,0.0137822038294551,0.0271924523723515
