"","DroughtTimePds","Topo","N","meanN2O_nmolm2s_fluxuse","sdN2O_nmolm2s_fluxuse","seN2O_nmolm2s_fluxuse","ciN2O_nmolm2s_fluxuse"
"1","Pre-Drought","Ridge",9,-0.00113749222222222,0.0030818268119363,0.00102727560397877,0.00236890179076939
"2","Pre-Drought","Slope",195,-0.00108549297435897,0.00476642708659042,0.000341330933273184,0.00067319591756066
"3","Pre-Drought","Valley",106,-0.00149099830188679,0.00658426542960318,0.000639520392578125,0.00126805080230731
"4","Drought","Ridge",1484,-0.462594982142857,2.38331493669615,0.0618677731355237,0.121357652974795
"5","Drought","Slope",1491,-0.672582497216633,1.78873267387674,0.0463240603118815,0.0908673026076788
"6","Drought","Valley",1530,-0.0349548413267974,1.03104526887466,0.0263591874381195,0.0517039866403846
"7","Drought Recovery","Ridge",524,-0.324822095763359,2.49421602597623,0.10896033300422,0.214053686966947
"8","Drought Recovery","Slope",320,-0.39378326971875,2.41166602719343,0.134816229395784,0.265241276728407
"9","Drought Recovery","Valley",513,-0.535181271949318,2.72232624463577,0.120193639916915,0.236133400091362
"10","Post-Drought","Ridge",178,-0.243733963651685,0.661363527906193,0.049571292211179,0.0978268236064619
"11","Post-Drought","Slope",106,-0.519671454150943,2.36765059705205,0.229966555191839,0.455981198096411
"12","Post-Drought","Valley",184,-0.189195287282609,0.466049093408333,0.0343575949981705,0.0677879443068165
